Disease,Possible_Symptoms
Fungal infection,"itching, skin_rash, dischromic _patches, nodal_skin_eruptions"
Allergy," watering_from_eyes, chills, continuous_sneezing, shivering"
GERD," chest_pain, vomiting, ulcers_on_tongue, stomach_pain, cough, acidity"
Chronic cholestasis," vomiting,itching, abdominal_pain, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes"
Drug Reaction,"itching, skin_rash, spotting_ urination, burning_micturition, stomach_pain"
Peptic ulcer diseae," vomiting, abdominal_pain, internal_itching, loss_of_appetite, passage_of_gases, indigestion"
AIDS," high_fever, muscle_wasting, extra_marital_contacts, patches_in_throat"
Diabetes ," obesity, weight_loss, lethargy, excessive_hunger, restlessness, increased_appetite, polyuria, blurred_and_distorted_vision, fatigue, irregular_sugar_level"
Gastroenteritis," diarrhoea, dehydration, sunken_eyes, vomiting"
Bronchial Asthma," family_history, mucoid_sputum, high_fever, breathlessness, fatigue, cough"
Hypertension ," chest_pain, headache, lack_of_concentration, dizziness, loss_of_balance"
Migraine," depression, headache, irritability, visual_disturbances, blurred_and_distorted_vision, stiff_neck, excessive_hunger, acidity, indigestion"
Cervical spondylosis," back_pain, neck_pain, weakness_in_limbs, dizziness, loss_of_balance"
Paralysis (brain hemorrhage)," headache, weakness_of_one_body_side, altered_sensorium, vomiting"
Jaundice," weight_loss, vomiting,itching, abdominal_pain, high_fever, yellowish_skin, fatigue, dark_urine"
Malaria," muscle_pain, sweating, diarrhoea, vomiting, headache, high_fever, nausea, chills"
Chicken pox," lethargy, mild_fever,itching, skin_rash, headache, red_spots_over_body, swelled_lymph_nodes, high_fever, malaise, loss_of_appetite, fatigue"
Dengue," muscle_pain, back_pain, vomiting, skin_rash, headache, pain_behind_the_eyes, red_spots_over_body, joint_pain, high_fever, malaise, nausea, loss_of_appetite, fatigue, chills"
Typhoid," diarrhoea, vomiting, abdominal_pain, belly_pain, headache, high_fever, nausea, fatigue, constipation, chills, toxic_look_(typhos)"
hepatitis A," diarrhoea, muscle_pain, mild_fever, vomiting, abdominal_pain, joint_pain, yellowish_skin, nausea, loss_of_appetite, dark_urine, yellowing_of_eyes"
Hepatitis B," yellow_urine, lethargy, receiving_unsterile_injections,itching, abdominal_pain, receiving_blood_transfusion, yellowish_skin, malaise, loss_of_appetite, fatigue, dark_urine, yellowing_of_eyes"
Hepatitis C," family_history, yellowish_skin, nausea, loss_of_appetite, fatigue, yellowing_of_eyes"
Hepatitis D," vomiting, abdominal_pain, joint_pain, yellowish_skin, nausea, loss_of_appetite, fatigue, dark_urine, yellowing_of_eyes"
Hepatitis E," vomiting, abdominal_pain, joint_pain, high_fever, yellowish_skin, nausea, loss_of_appetite, coma, acute_liver_failure, fatigue, dark_urine, stomach_bleeding, yellowing_of_eyes"
Alcoholic hepatitis," distention_of_abdomen, vomiting, abdominal_pain, swelling_of_stomach, history_of_alcohol_consumption, yellowish_skin, fluid_overload"
Tuberculosis," chest_pain, sweating, weight_loss, mild_fever, vomiting, blood_in_sputum, swelled_lymph_nodes, high_fever, breathlessness, malaise, loss_of_appetite, fatigue, phlegm, chills, cough, yellowing_of_eyes"
Common Cold," loss_of_smell, chest_pain, muscle_pain, congestion, sinus_pressure, headache, continuous_sneezing, swelled_lymph_nodes, high_fever, malaise, redness_of_eyes, throat_irritation, fatigue, runny_nose, phlegm, chills, cough"
Pneumonia," chest_pain, sweating, rusty_sputum, high_fever, breathlessness, malaise, fatigue, phlegm, chills, cough, fast_heart_rate"
Dimorphic hemmorhoids(piles)," pain_in_anal_region, bloody_stool, pain_during_bowel_movements, constipation, irritation_in_anus"
Heart attack," breathlessness, sweating, chest_pain, vomiting"
Varicose veins," prominent_veins_on_calf, swollen_legs, obesity, cramps, swollen_blood_vessels, fatigue, bruising"
Hypothyroidism," depression, cold_hands_and_feets, lethargy, mood_swings, brittle_nails, enlarged_thyroid, swollen_extremeties, weight_gain, fatigue, dizziness, puffy_face_and_eyes, irritability, abnormal_menstruation"
Hyperthyroidism," diarrhoea, sweating, weight_loss, mood_swings, restlessness, irritability, muscle_weakness, fatigue, excessive_hunger, abnormal_menstruation, fast_heart_rate"
Hypoglycemia," sweating, slurred_speech, anxiety, vomiting, headache, irritability, drying_and_tingling_lips, palpitations, nausea, blurred_and_distorted_vision, fatigue, excessive_hunger"
Osteoarthristis," neck_pain, hip_joint_pain, knee_pain, painful_walking, joint_pain, swelling_joints"
Arthritis," painful_walking, swelling_joints, muscle_weakness, stiff_neck, movement_stiffness"
(vertigo) Paroymsal  Positional Vertigo," vomiting, headache, spinning_movements, nausea, unsteadiness, loss_of_balance"
Acne," pus_filled_pimples, skin_rash, scurring, blackheads"
Urinary tract infection," continuous_feel_of_urine, foul_smell_of urine, bladder_discomfort, burning_micturition"
Psoriasis," small_dents_in_nails, skin_peeling, skin_rash, inflammatory_nails, joint_pain, silver_like_dusting"
Impetigo," blister, yellow_crust_ooze, skin_rash, red_sore_around_nose, high_fever"
